date,username,to,replies,retweets,favorites,text,geo,mentions,hashtags,id,permalink
2020-06-13 09:55:04,Disqeet,,0,0,0,"India, China meetings have led to disengagement along the border: Indian Army ",,,,1271742877991911424,https://twitter.com/Disqeet/status/1271742877991911424
2020-06-13 09:53:02,rkg2222,,0,0,0,"Military officers hold 5th round of India- China talks",,,,1271742366227914752,https://twitter.com/rkg2222/status/1271742366227914752
2020-06-13 09:52:57,rahulkanwal,,29,10,137,"Most people seem highly confused about India-China border face-off. So we invested substantial time, energy and effort to bring alive reality of situation on the ground for our viewers and readers. After our presentation you will have a far clear sense of what’s going on. 8 pm",,,,1271742346930065418,https://twitter.com/rahulkanwal/status/1271742346930065418
2020-06-13 09:52:17,ishkarnBHANDARI,,15,24,121,"Live at 6 pm @Iyervval . Send your Questions below India-China dispute. Subscribe &amp; Join- https://www.youtube.com/channel/UCnZhp2ugahf_NZN-RuT09HQ",,@Iyervval,,1271742177433935874,https://twitter.com/ishkarnBHANDARI/status/1271742177433935874
2020-06-13 09:50:05,sagared,,2,4,9,"n/1 - An influncer account known for inauthentic coordinated behavior posted an update at 8:54 AM. The post had the following caption, ""Chinese Army#killed 30 indian Army man and more 20 arrested Indian Army...Tension situation India-China border in Ladakh Source: Chinese media"" ",,,,1271741623404118017,https://twitter.com/sagared/status/1271741623404118017
2020-06-13 09:49:12,HasmukhlalMe,,1,0,0,"@globaltimesnews @XHNews @China_Amb_India China proxies exposed about anti-HCQ published reports in science journal. Your country misleading world. Your country may not blackmail other country. @JPN_PMO @realDonaldTrump @amconmag @UNGeneva support HCQ for poor peoples.",,@globaltimesnews @XHNews @China_Amb_India @JPN_PMO @realDonaldTrump @amconmag @UNGeneva,,1271741402859237377,https://twitter.com/HasmukhlalMe/status/1271741402859237377
2020-06-13 09:47:23,talk_kashmir,,0,0,0,"Army Chief General MM Naravane said entire situation along India China border is under control.He said both countries are having a series of talks which started with Corps Commander level talks &amp; has been followed up with meetings at local level b/w Commanders of equivalent ranks ",,,,1271740944031772672,https://twitter.com/talk_kashmir/status/1271740944031772672
2020-06-13 09:46:52,sajivarghese76,,0,0,0,"Everything is under control: Army chief on India-China border row http://toi.in/nPwixa Download the TOI app now:",,,,1271740812435566593,https://twitter.com/sajivarghese76/status/1271740812435566593
2020-06-13 09:44:14,thewanderborn,,0,1,6,"Have you ever seen Amir Khan, Shah-ruk Khan and Salman Khan say anything be it CAA, India- China face off, Kashmiri Pandit or Hindu lives matter? Because their next movie wont earn them millions. Their loyalty is towards money and not the country. #Hinduphobic_Bollywood",,,#Hinduphobic_Bollywood,1271740152918892544,https://twitter.com/thewanderborn/status/1271740152918892544
2020-06-13 09:43:35,AlokKrIndia,,0,0,1,"BRICS #Brazil #Russia #India #China #SouthAfrica created 4 #economy development now leading #World with #USA in #COVID19 #Corona What an Achievement! All ruled by #fascists #Beijing #MaunModiMissing #opec #Africa #AllLivesMatter #LockdownFailed #SaturdayThoughts #GodiMedia #BJP",,,#Brazil #Russia #India #China #SouthAfrica #economy #World #USA #COVID19 #Corona #fascists #Beijing #MaunModiMissing #opec #Africa #AllLivesMatter #LockdownFailed #SaturdayThoughts #GodiMedia #BJP,1271739986568597510,https://twitter.com/AlokKrIndia/status/1271739986568597510
2020-06-13 09:43:14,colinpantall,,0,0,0,"A strategic view on the India China China conflict ",,,,1271739898777780226,https://twitter.com/colinpantall/status/1271739898777780226
2020-06-13 09:40:26,S_P_Ganesh,China_Amb_India,0,0,1,"hope, TRUST , cements India China relationship.",,,,1271739194461708290,https://twitter.com/S_P_Ganesh/status/1271739194461708290
2020-06-13 09:31:59,SAHILKU92494587,,0,0,0,"India-China: पैंगोंग झील इलाके से जाने को तैयार नहीं है चीन, फिंगर 4 पर मौजूद हैं चीनी जवान ये क्या गलत समाचार है फिंगर 1 से 8 पर भारत का आधिपत्य था चीनी सेना ने 4 से 8 पर अवैध कब्जा कर लिया http://dhunt.in/9YuMw?s=a&amp;uu=0x0facfed09350c0ee&amp;ss=pd Source : ""OneIndia"" via Dailyhunt",,,,1271737068201238528,https://twitter.com/SAHILKU92494587/status/1271737068201238528
2020-06-13 09:30:43,chitralekhamag,,0,0,6,"ભારત-ચીન બોર્ડર વિવાદ પર આર્મી ચીફ શું બોલ્યા?... વધુ વાંચવા ક્લિક કરો... https://bit.ly/3hkAYZv #India #China #Border #armychiefmmnaravane #chitralekha",,,#India #China #Border #armychiefmmnaravane #chitralekha,1271736748150624256,https://twitter.com/chitralekhamag/status/1271736748150624256
2020-06-13 09:29:01,siddromi,kapskom,0,0,0,"India-China border situation is under control: Army Chief General MM Naravane Read more: https://indianexpress.com/article/india/india-china-border-dispute-mm-naravane-6456774/",,,,1271736323506753536,https://twitter.com/siddromi/status/1271736323506753536
2020-06-13 09:28:46,Bhargav22618427,,0,0,0,"91% Indians are Willing to Boycott Chinese Goods June 8, 2020 Editor TJ 0 Comments Boycott Chinese goods, Dr. Lobsang Sangay, India China Border Dispute, Indians Boycott Chinese goods, Sonam Wangchuk, Tibet Issue In a very welcome response to the call to boycott Chinese good",,,,1271736257857458176,https://twitter.com/Bhargav22618427/status/1271736257857458176
2020-06-13 09:28:45,Prateekchaubey,,0,0,2,"Why the Ladakh standoff may spiral into a larger showdown https://www.newslaundry.com/2020/06/11/why-the-ladakh-standoff-may-spiral-into-a-larger-showdown #Kashmir #SecurityMatters #Pakistan #IndiaChina dispute #LadakhConflict",,,#Kashmir #SecurityMatters #Pakistan #IndiaChina #LadakhConflict,1271736253952651264,https://twitter.com/Prateekchaubey/status/1271736253952651264
2020-06-13 09:28:17,Dhruv_Goswami14,,0,0,0,"Everything is under control: Army chief on India-China border row ",,,,1271736138407919618,https://twitter.com/Dhruv_Goswami14/status/1271736138407919618
2020-06-13 09:26:41,election_index,,0,0,0,"India &amp; China Military comparison= India - Active person-2140000. Reserved person-1155000. Available for military- 319129420. China - Active person -2300000. Reserved Person-8000000 Available for military-385821101.",,,,1271735735796695042,https://twitter.com/election_index/status/1271735735796695042
2020-06-13 09:26:24,haribhoomicom,,0,0,0,"भारत- चीन सीमा विवाद में नया मोड़, सेना प्रमुख नारवाड़े बोले सब ठीक #indiachina ",,,#indiachina,1271735663319150595,https://twitter.com/haribhoomicom/status/1271735663319150595
2020-06-13 09:24:25,sivasankarran,,0,0,0,"Gravitas: India-China standoff | The dragon retreats https://youtu.be/vzWDiI4GmA4 via @YouTube",,@YouTube,,1271735163429543938,https://twitter.com/sivasankarran/status/1271735163429543938
